organizer,id,room,parallel
Guanyu Hu,NESS19-IS-6,Saratoga A,1
Oleksii Mostovyi,NESS19-IS-20,Salon C,1
Kerrie Nelson,NESS19-IS-21,Nathan Hale South,1
Wei Zheng,NESS19-IS-25,Colt Boardroom,1
Jeff Goldsmith,NESS19-IS-27,Ethan Allen,1
Yao Zheng,NESS19-IS-35,Wadsworth,1
Tamara Broderick,NESS19-IS-52,Nathan Hale North,1
D. Betsy Mccoach,NESS19-IS-54,Silas Deane,1
Arlene Ash,NESS19-IS-61,Salon A,1
Tor D. Tosteson,NESS19-IS-62,Salon B,1
Chihwa Kao,NESS19-IS-11,Ethan Allen,2
Panpan Zhang,NESS19-IS-14,Silas Deane,2
Guojun Gan,NESS19-IS-18,Salon A,2
Jeff Buzas,NESS19-IS-26,Salon C,2
Ting Zhang,NESS19-IS-29,Colt Boardroom,2
Jing Wu,NESS19-IS-36,Wadsworth,2
Nathan Lally,NESS19-IS-42,Mark Twain,2
Junwei Lu,NESS19-IS-43,Nathan Hale South,2
Xiaoxuan Cai,NESS19-IS-48,Salon B,2
Stavroula A. Chrysanthopoulou,NESS19-IS-63,Saratoga A,2
Aleksey Polunchenko,NESS19-IS-1,Colt Boardroom,3
Naitee Ting,NESS19-IS-4,Ethan Allen,3
Wen Zhou,NESS19-IS-5,Nathan Hale North,3
Balgobin Nandram,NESS19-IS-12,Silas Deane,3
Chongliang Luo,NESS19-IS-13,Salon A,3
Yuwen Gu,NESS19-IS-15,Nathan Hale South,3
Yu (Ryan) Yue,NESS19-IS-22,Mark Twain,3
Ting Zhang,NESS19-IS-30,Saratoga A,3
Jie Tang,NESS19-IS-37,Salon C,3
Lynn Kuo,NESS19-IS-60,Wadsworth,3
Wen Zhou,NESS19-IS-3,Mark Twain,4
Victor Hugo Lachos Davila,NESS19-IS-8,Colt Boardroom,4
Tevfik Aktekin,NESS19-IS-28,Nathan Hale South,4
Jing Qian,NESS19-IS-32,Silas Deane,4
Elizabeth Schifano,NESS19-IS-39,Saratoga A,4
Kathy Ziff,NESS19-IS-41,Ethan Allen,4
John Zhong,NESS19-IS-55,Salon C,4
Yuping Zhang,NESS19-IS-56,Nathan Hale North,4
Dakota Cintron,NESS19-IS-58,Wadsworth,4
Ali Yousefi,NESS19-IS-64,Salon B,4
Minge Xie,NESS19-IS-65,Salon A,4
Zhengqing Ouyang,NESS19-IS-7,Saratoga A,5
Natallia V. Katenka,NESS19-IS-31,Silas Deane,5
Nalini Ravishanker,NESS19-IS-33,Mark Twain,5
Randy Paffenroth,NESS19-IS-40,Colt Boardroom,5
Xiaojing Wang,NESS19-IS-44,Salon B,5
Veronica Berrocal,NESS19-IS-47,Wadsworth,5
Gregory J. Matthews,NESS19-IS-50,Salon A,5
Zuofeng Shang,NESS19-IS-51,Salon C,5
Kun Chen,NESS19-IS-57,Ethan Allen,5
Krista Gile,NESS19-IS-59,Nathan Hale North,5
Tamara Broderick,NESS19-IS-67,Nathan Hale South,5
Jun Yan,NESS19-IS-9,Ethan Allen,6
Jiwei Zhao,NESS19-IS-23,Nathan Hale South,6
Zehang Richard Li,NESS19-IS-24,Wadsworth,6
Shuangge Ma,NESS19-IS-34,Salon B,6
Yasuo Amemiya,NESS19-IS-38,Salon C,6
Balaji Raman,NESS19-IS-45,Silas Deane,6
Daoji Li,NESS19-IS-46,Mark Twain,6
Aditya Kumar Mishra,NESS19-IS-49,Colt Boardroom,6
Tian Zheng,NESS19-IS-53,Nathan Hale North,6
Rui (Sammi) Tang,NESS19-IS-66,Salon A,6
Gavino Puggioni,NESS19-IS-68,Saratoga A,6